nombre,mandato,distrito,partido,acta,clausura,anulado,desafuero,fallece,otros,reemplazo,renuncia,reemplazo,no incorporo,vacante
"ABALO, RAUL",1963-1967,Buenos Aires,UNION DEL PUEBLO ARGENTINO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"ABALOS, BENJAMIN",1912-1916,Santa Fe,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ABALOS, JOSE GREGORIO",1926-1930,Santiago del Estero,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ABALOS, PROSPERO",1932-1934,Santiago del Estero,PARTIDO RADICAL UNIFICADO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ABALOS, ROBERTO JOSE",2001-2005,Santiago del Estero,FUERZA DE UNIDAD POPULAR,,,,,,,,,,,
"ABALOVICH, EDUARDO ANTONIO",1995-1999,Santiago del Estero,UNION CIVICA RADICAL,,,,,,,,,,,
"ABAN DE ABALOS, GLORIA DEL SOCORRO",1995-1999,Salta,ALIANZA FRENTE JUSTICIALISTA PARA LA VICTORIA,,,,,,,,,,,
"ABAROA, RUFINO VICENTE",1958-1962,Córdoba,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ABASTO, ANGEL LEONIDAS",1997-2001,Buenos Aires,ALIANZA FRENTE JUSTICIALISTA BONAERENSE,,,,,,,,,,,
"ABASTO, ANGEL LEONIDAS",1993-1997,Buenos Aires,ALIANZA FRENTE JUSTICIALISTA FEDERAL,,,,,,,,,,,
"ABAURREA, MIGUEL",1962-1966,Capital Federal,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,Comicio anulado 25/04/1962,,,,,,,,
"ABBIATE, ALEJANDRO ABEL ALBERTO",1983-1985,Buenos Aires,PARTIDO JUSTICIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,Falleció el 02/05/1985,,Reemplazado por Pastor V. O. Chazarreta,,,,
"ABDALA, FELIPE",1960-1964,Mendoza,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"ABDALA, GERMAN DARIO",1989-1993,Capital Federal,FRENTE JUSTICIALISTA DE UNIDAD POPULAR,,,,,Falleció el 13/07/1993,,"Reemplazado por MARINO, JULIANA I.",,,,
"ABDALA, JOSEFINA",2003-2007,Mendoza,UNION CIVICA RADICAL,,,,,,,,,,,
"ABDALA, LUIS OSCAR",1985-1989,La Rioja,UNION CIVICA RADICAL,,,,,,,,,,,
"ABDALA, LUIS OSCAR",1983-1985,La Rioja,UNION CIVICA RADICAL,,,,,,,,,,,
"ABDALA, NORMA AMANDA MATARAZZO DE",2009-2013,Santiago del Estero,ALIANZA FRENTE CIVICO POR SANTIAGO,,,,,,,,,,,
"ABDALA, OSCAR TUPIC",1983-1987,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ABDULAJAD, ABRAHAM",1965-1969,Santiago del Estero,UNION POPULAR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"ABELLA, EUGENIO F.",1892-1896,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"ABELLA, MIGUEL ANGEL",1997-2001,Córdoba,UNION CIVICA RADICAL,,,,,,,,,,,
"ABIHAGGLE, CARLOS ENRIQUE",1993-1997,Mendoza,PARTIDO JUSTICIALISTA,,,,,,,"Reemplazado por DOMSIC, LIDIA C.",,,,
"ABRAHAM, RESTON",1960-1962,Salta,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ACCASTELLO, EDUARDO LUIS",2005-2009,Córdoba,ALIANZA UNION POR Cordoba,,,,,,,"Reemplazado por HALAK, BEATRIZ SUSANA",,,,
"ACCAVALLO, JULIO CESAR",2001-2005,Rio Negro,"ALIANZA por el TRABAJO, la JUSTICIA y la EDUCACION",,,,,,,,,,,
"ACEÑOLAZA, FLORENCIO GILBERTO",1991-1995,Tucumán,FRENTE de la ESPERANZA,,,,,,,,,,,
"ACEVEDO DE BIANCHI, CARMEN B.",1983-1985,Formosa,PARTIDO JUSTICIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ACEVEDO, CARLOS LUIS",1973-1977,Buenos Aires,CONFEDERACION POPULAR FEDERALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"ACEVEDO, JULIO CESAR",1989-1993,Misiones,FRENTE JUSTICIALISTA de UNIDAD POPULAR,,,,,,,,,,,
"ACEVEDO, SERGIO EDGARDO",2001-2005,Santa Cruz,PARTIDO JUSTICIALISTA,,,,,,,"Reemplazado por VARIZAT, DANIEL A.",,,,
"ACEVEDO, SERGIO EDGARDO",1995-1999,Santa Cruz,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ACHAVAL RODRIGUEZ, TRISTAN",1880-1884,Córdoba,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento",,,,,,,,,,
"ACHAVAL, JULIO",1875-1878,La Rioja,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"ACHAVAL, LUIS",1908-1912,Córdoba,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",,,,,,"Reemplazado por BOUQUET, ARTURO",,,,
"ACHAVAL, TRISTAN",1860-1862,Catamarca,No consignado,,,,,,Parana,,,,,
"ACHAVAL, TRISTAN",1860-1862,Catamarca,No consignado,,,,,,Parana;,,,,,
"ACHAVAL, TRISTAN",1873-1876,Córdoba,No consignado,,,,,,,,,,,
"ACHAVAL, TRISTAN",1854-1858,Catamarca,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por el Poder Ejecutivo Nacional por",Clausura del Poder Legislativo en 1861 por la Confederación Argentina,,,,Parana;,,,,,
"ACHEM, ANTONIO",1991-1995,San Juan,CRUZADA RENOVADORA SAN JUAN,,,,,,,,,,,
"ACHIARY, JUAN CARLOS",1965-1969,La Pampa,MOVIMIENTO DE INTEGRACION Y DESARROLLO,,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
