Senador,Legal Desde,Legal Hasta,Real Desde,Real Hasta,Provincia,Partido Político,Reemplazo,Observaciones
NN,26/04/1966,30/04/1975 ,26/04/1966,22/06/1966 ,JUJUY ,SIN ESPECIFICAR ,,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966. REEMPLAZA A GUILLERMO SNOPEK (1963-1966). POR EXPIRACION DE MANDATO.  
NN,10/12/1989,09/12/1998 ,10/12/1989,09/12/1991 ,JUJUY ,JUSTICIALISTA ,"SNOPEK, GUILLERMO EUGENIO ",REEMPLAZA A ANNUAR JORGE POR EXPIRACION DE MANDATO. FALLECE EN 1992. LO REEMPLAZA GUILLERMO EUGENIO SNOPEK.  
"ABAD, ELIAS  ",22/01/1941,19/01/1950 ,15/09/1942,05/06/1943 ,CORRIENTES ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,COMPLETA EL PERIODO DE PEDRO DIAZ COLODRERO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943.  
"ABDALA, DEMETRIO CESAR  ",12/08/1963,30/04/1966 ,12/08/1963,30/04/1966 ,LA RIOJA ,SIN ESPECIFICAR ,VACANTE HASTA DISOLUC.P.L. ,VACANTE HASTA LA DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"ABDALA, FELIPE  ",12/08/1963,30/04/1969 ,12/08/1963,28/06/1966 ,MENDOZA ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"ABRAMETO, JACOBO ALBERTO ",08/08/2007,09/12/2007 ,08/08/2007,Sin Fecha ,RÍO NEGRO ,UNIÓN CÍVICA RADICAL ,"PICHETTO, MIGUEL ÁNGEL ","Sucede al Senador Falcó, fallecido el 28/07/2007  "
"ACUÑA, AURELIO SIMON  ",19/09/1941,19/01/1950 ,25/04/1942,05/06/1943 ,CATAMARCA ,DEMOCRATA NACIONAL ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A FRANCISCO GALINDEZ POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943.  
"ACUÑA, ERNESTO NICEO  ",12/08/1963,30/04/1966 ,12/08/1963,30/04/1966 ,CATAMARCA ,U. C. R. DEL PUEBLO ,"ACUÑA, ERNESTO NICEO  ",NINGUNA 
"ACUÑA, ERNESTO NICEO  ",19/05/1966,30/04/1975 ,19/05/1966,28/06/1966 ,CATAMARCA ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"ACUÑA, RAMON EDGARDO  ",12/08/1963,30/04/1972 ,12/08/1963,28/06/1966 ,CATAMARCA ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
