"NACIONAL";"50";"PARTIDO SOCIALISTA                              ";"CAPITAL FEDERAL";"Mesa Directiva Comite Nacional";"Secretario/a General Adjunto";"VERONICA";"GOMEZ";"0";"17/05/2012";"17/05/2014"
"DISTRITO";"151";"PARTIDO LIBERAL";"CORRIENTES";"Intervencion Judicial";"Interventor/a";"MARCOS IGNACIO";"ALONSO";"0";"31/05/2013";"16/05/2014"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Junta Electoral";"Delegado/a";"HECTOR ABEL ";"GARCIA";"6";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Junta Electoral";"Delegado/a";"ANTONIO";"ARCE";"7";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Junta Electoral";"Delegado/a";"ALBERTO";"BENITEZ";"8";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Junta Electoral";"Delegado/a";"GRACIELA ";"DE LA ROSA ";"9";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Junta Electoral";"Delegado/a";"OSCAR ALBERTO ";"PUPPO";"10";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Junta Electoral";"Delegado/a";"EZEQUIEL ";"BENITEZ";"12";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Junta Electoral";"Delegado/a";"JULIO CESAR ";"VARGAS YEGROS ";"13";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Junta Electoral";"Delegado/a";"PATRICIA ";"LOZANO";"14";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Junta Electoral";"Delegado/a";"VIRGILIO ";"GALEANO";"15";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Tribunal de Disciplina";"Delegado/a";"RAMON FRANCISCO";"GIMENEZ";"16";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Tribunal de Disciplina";"Delegado/a";"LOURDES PETRONA ";"ANTUENO";"17";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Tribunal de Disciplina";"Delegado/a";"FULGENCIO";"BENITEZ";"18";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Tribunal de Disciplina";"Delegado/a";"ELBA RUTH";"SAMANIEGO";"19";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Tribunal de Disciplina";"Delegado/a";"FERNANDO";"COLCOMBET";"20";"06/04/2014";"06/04/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA                              ";"CAPITAL FEDERAL";"Tribunal de Disciplina";"Delegado/a";"ROBERTO";"LOBEY";"21";"06/04/2014";"06/04/2016"
