item,itemLabel
http://www.wikidata.org/entity/Q356659,Julio Argentino Roca
http://www.wikidata.org/entity/Q357257,Ramón Puerta
http://www.wikidata.org/entity/Q357826,Gregorio Aráoz de Lamadrid
http://www.wikidata.org/entity/Q360911,Bernardo de Irigoyen
http://www.wikidata.org/entity/Q363555,José Félix Uriburu
http://www.wikidata.org/entity/Q363586,Marcelo Torcuato de Alvear
http://www.wikidata.org/entity/Q365013,Adolfo Bullrich
http://www.wikidata.org/entity/Q365058,Adolfo Domingo Torres
http://www.wikidata.org/entity/Q365080,Adolfo Gass
http://www.wikidata.org/entity/Q365158,Adolfo Saldías
http://www.wikidata.org/entity/Q365345,Carlos Alberto Lacoste
http://www.wikidata.org/entity/Q365369,Roberto Marcelino Ortiz
http://www.wikidata.org/entity/Q365431,Eduardo Lonardi
http://www.wikidata.org/entity/Q365503,César Guzzetti
http://www.wikidata.org/entity/Q367833,Hugo Cóccaro
http://www.wikidata.org/entity/Q377722,Adrián C. Escobar
http://www.wikidata.org/entity/Q380742,Nicolás Rodríguez Peña
http://www.wikidata.org/entity/Q380980,Roberto Marcelo Levingston
http://www.wikidata.org/entity/Q383015,Roque Sáenz Peña
http://www.wikidata.org/entity/Q384568,Francisco Pascasio Moreno
http://www.wikidata.org/entity/Q387646,Florentina Gómez Miranda
http://www.wikidata.org/entity/Q389678,Nicasio Oroño
http://www.wikidata.org/entity/Q437289,Dalmacio Vélez Sarsfield
http://www.wikidata.org/entity/Q438892,Miguel Ángel Juárez Celman
http://www.wikidata.org/entity/Q440580,Alicia Kirchner
http://www.wikidata.org/entity/Q441371,Nicolás Avellaneda
http://www.wikidata.org/entity/Q442689,Juan Esteban Pedernera
http://www.wikidata.org/entity/Q442729,José Figueroa Alcorta
http://www.wikidata.org/entity/Q451948,Carlos Ruckauf
http://www.wikidata.org/entity/Q452112,Amado Boudou
http://www.wikidata.org/entity/Q453625,Amancio Alcorta
http://www.wikidata.org/entity/Q455709,Luis Sáenz Peña
http://www.wikidata.org/entity/Q456351,Julio Cobos
http://www.wikidata.org/entity/Q460738,Emilio Eduardo Massera
http://www.wikidata.org/entity/Q461939,Eugenio Cambaceres
http://www.wikidata.org/entity/Q463425,Santiago Derqui
http://www.wikidata.org/entity/Q464916,Rubén Giustiniani
http://www.wikidata.org/entity/Q465493,Carlos María de Alvear
http://www.wikidata.org/entity/Q470603,Aníbal Ibarra
http://www.wikidata.org/entity/Q470971,José María Guido
http://www.wikidata.org/entity/Q474099,Rodolfo Freude
http://www.wikidata.org/entity/Q493420,Orlando Ramón Agosti
http://www.wikidata.org/entity/Q503645,Leopoldo Alfredo Bravo
http://www.wikidata.org/entity/Q508497,Pino Solanas
http://www.wikidata.org/entity/Q509974,Olegario Víctor Andrade
http://www.wikidata.org/entity/Q518850,Alicia Moreau de Justo
http://www.wikidata.org/entity/Q534713,Elías Villanueva
http://www.wikidata.org/entity/Q534949,Martha Mercader
http://www.wikidata.org/entity/Q535094,Hilda González
http://www.wikidata.org/entity/Q540551,Tristán Narvaja
http://www.wikidata.org/entity/Q541379,Miguel de Azcuénaga
http://www.wikidata.org/entity/Q543040,José Manuel de la Sota
http://www.wikidata.org/entity/Q544829,Patricia Ayala
http://www.wikidata.org/entity/Q545374,Aristóbulo del Valle
http://www.wikidata.org/entity/Q561837,Mauricio Macri
http://www.wikidata.org/entity/Q578020,Pedro Goyena
http://www.wikidata.org/entity/Q584197,Joaquín Víctor González
http://www.wikidata.org/entity/Q584828,María Alicia Lemme
http://www.wikidata.org/entity/Q587873,Hugo Cores
http://www.wikidata.org/entity/Q591796,Ángel Rozas
http://www.wikidata.org/entity/Q598214,Delia Parodi
http://www.wikidata.org/entity/Q599235,Victorino de la Plaza
http://www.wikidata.org/entity/Q599714,Ernesto Sanz
http://www.wikidata.org/entity/Q601910,Antonio F. Crespo
http://www.wikidata.org/entity/Q604553,Antonio Ubaldo Rattín
http://www.wikidata.org/entity/Q607425,Mohamed Alí Seineldín
http://www.wikidata.org/entity/Q608349,Isaac Francisco Rojas
http://www.wikidata.org/entity/Q612155,Nicanor Costa Méndez
http://www.wikidata.org/entity/Q613461,Juan Carlos Rousselot
http://www.wikidata.org/entity/Q614102,Jorge Sobisch
http://www.wikidata.org/entity/Q639951,Octavio Bartolucci
http://www.wikidata.org/entity/Q648570,Milan Stojadinović
http://www.wikidata.org/entity/Q715315,Arturo Jauretche
http://www.wikidata.org/entity/Q715414,Arturo Puricelli
http://www.wikidata.org/entity/Q722738,Juan Bautista Alberdi
http://www.wikidata.org/entity/Q726607,Luis María Drago
http://www.wikidata.org/entity/Q733743,Carlos Álvarez
http://www.wikidata.org/entity/Q2893609,José Severo Malabia
http://www.wikidata.org/entity/Q2893991,Agustín Pedro Justo
http://www.wikidata.org/entity/Q2894164,Ángel Monasterio
http://www.wikidata.org/entity/Q2894286,José Luis Machinea
http://www.wikidata.org/entity/Q2898972,Bernardo de Vera y Pintado
http://www.wikidata.org/entity/Q2917313,Rolando de Hertelendy
http://www.wikidata.org/entity/Q2917584,Wenceslao Posse
http://www.wikidata.org/entity/Q2918563,Margarita Stolbizer
http://www.wikidata.org/entity/Q2918605,Manuel Domecq García
http://www.wikidata.org/entity/Q2918733,Darío Alessandro
http://www.wikidata.org/entity/Q2919674,Pedro Cabello Poleo
http://www.wikidata.org/entity/Q2939476,Carlos Tejedor
http://www.wikidata.org/entity/Q3048310,Eduardo Brizuela del Moral
http://www.wikidata.org/entity/Q3052342,Nilda Garré
http://www.wikidata.org/entity/Q3066464,Fanny Edelman
http://www.wikidata.org/entity/Q3071423,Francisco de Narváez
http://www.wikidata.org/entity/Q3072494,Juan Manuel Abal Medina
http://www.wikidata.org/entity/Q3080230,Vicente Fidel López
http://www.wikidata.org/entity/Q3083192,Tomás Guido
http://www.wikidata.org/entity/Q3183785,Jorge Antonio
http://www.wikidata.org/entity/Q3183868,Jorge Carcagno
http://www.wikidata.org/entity/Q3186387,José Zavalía
http://www.wikidata.org/entity/Q3186425,José Manuel Álvarez
http://www.wikidata.org/entity/Q3187663,Juan Gregorio Pujol
http://www.wikidata.org/entity/Q3187673,Hortensio Quijano
http://www.wikidata.org/entity/Q3189080,Julián Bourdeu
http://www.wikidata.org/entity/Q3189893,Julián de Leyva
http://www.wikidata.org/entity/Q3286813,Manuel Fresco
http://www.wikidata.org/entity/Q3295527,Dardo Rocha
http://www.wikidata.org/entity/Q3297245,Hugo Moyano
http://www.wikidata.org/entity/Q3300069,Matías de Irigoyen
http://www.wikidata.org/entity/Q3311318,Luis Jiménez de Asúa
http://www.wikidata.org/entity/Q3314051,Miguel Estanislao Soler
http://www.wikidata.org/entity/Q3314977,Luis Seoane
http://www.wikidata.org/entity/Q3356959,Oscar Bidegain
http://www.wikidata.org/entity/Q3359999,Pablo Rodríguez
http://www.wikidata.org/entity/Q3362887,Mercedes Marcó del Pont
http://www.wikidata.org/entity/Q3393426,José Alonso
http://www.wikidata.org/entity/Q3395012,Elpidio Villaverde
http://www.wikidata.org/entity/Q3395167,Antonio Alonso Ríos
http://www.wikidata.org/entity/Q3395787,Guillermo Rawson
http://www.wikidata.org/entity/Q3417215,Rafael Bielsa
http://www.wikidata.org/entity/Q3437304,Robustiano Patrón Costas
http://www.wikidata.org/entity/Q3446603,Rubén Ramírez Lezcano
http://www.wikidata.org/entity/Q3449051,José Inocencio Arias
http://www.wikidata.org/entity/Q3479675,Sergio Massa
http://www.wikidata.org/entity/Q3514542,Vjekoslav Vrančić
http://www.wikidata.org/entity/Q3543869,Lisandro de la Torre
http://www.wikidata.org/entity/Q3566504,Washington Cataldi
http://www.wikidata.org/entity/Q3601307,Tomás Antonio Lezica
http://www.wikidata.org/entity/Q3608136,Alberto Balestrini
http://www.wikidata.org/entity/Q3619514,Antonio de Tomaso
http://www.wikidata.org/entity/Q3620346,Antonio Zolezzi
http://www.wikidata.org/entity/Q191014,María Estela Martínez de Perón
http://www.wikidata.org/entity/Q193062,Raúl Alfonsín
http://www.wikidata.org/entity/Q193672,Carlos Saavedra Lamas
http://www.wikidata.org/entity/Q196054,Benjamín Villafañe
http://www.wikidata.org/entity/Q215387,Luis María Vernet
http://www.wikidata.org/entity/Q226053,Félix Luna
http://www.wikidata.org/entity/Q254041,Domingo Faustino Sarmiento
http://www.wikidata.org/entity/Q267291,Graciela Fernández Meijide
http://www.wikidata.org/entity/Q270025,Elisa Carrió
http://www.wikidata.org/entity/Q270348,José Evaristo de Uriburu
http://www.wikidata.org/entity/Q270368,Arturo Umberto Ilia
http://www.wikidata.org/entity/Q270446,Carlos Pellegrini
http://www.wikidata.org/entity/Q280554,Martín Rodríguez
http://www.wikidata.org/entity/Q294578,Eduardo Duhalde
http://www.wikidata.org/entity/Q295007,Fernando de la Rúa
http://www.wikidata.org/entity/Q297134,Hipólito Yrigoyen
